Entry,Pass,Range,Code,Pedigree,Site Release,Year Release,Shed GDU,Silk GDU,PLTHT (cm),EARHT (cm),Origin,Country,Section
47,19,4,GEMN-DH-1154,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-1154,,,1396,1426,290,109,,,GEMN DH Line
48,20,4,GEMN-DH-1183,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-1183,,,1426,1503,211,43,,,GEMN DH Line
49,21,4,PH1GD,,,,1330,1315,221,84,,,SS ex-PVP
50,22,4,01DHD10,,,,1426,1426,224,89,,,SS ex-PVP
51,23,4,87DIA4,,,,1368,1426,206,64,,,SS ex-PVP
52,24,4,90DJD28,,,,1455,1480,262,81,,,SS ex-PVP
53,25,4,PH05F,,,,1545,1545,267,91,,,SS ex-PVP
54,26,4,PH3DT,,,,1566,1566,236,89,,,SS ex-PVP
55,27,4,EC001,,,,1426,1455,231,97,,,SS Tester
56,28,4,EC018,,,,1455,1480,262,94,,,SS Tester
57,1,5,GEMS-0326,GEMS-0220/CML373//R3212Z-069-002-001-B,Ames,2023.0,1566,1545,221,99,Tuxpeño/Olotillo/Tropical Inbred,Mexico,GEM Released Line
58,2,5,GEMS-0330,(GEMS-0050/CL-G1501:S17b-B-020)-003-01-B,Raleigh,2024.0,1566,1586,264,122,Tropical Hybrid/Tropical Inbred,Thailand/Mexico,GEM Released Line
59,3,5,GEMN-0331,GEMN-0135/GEMN-0137-002-02,Raleigh,2024.0,1692,1692,290,145,Tropical Hybrid/Tropical Inbred,Brazil/St. Croix,GEM Released Line
60,4,5,GEMS-0332,GEMS-0227/42T1-B05-02,Raleigh,2024.0,1586,1566,284,112,Tropical Inbred/Tropical Inbred,Thailand/Mixed,GEM Released Line
61,5,5,GEMS-0333,GEMS-0227/42T2-B44-01,Raleigh,2024.0,1621,1606,284,132,Tropical Inbred/Tropical Inbred,Thailand/Mixed,GEM Released Line
62,6,5,GEMS-0334,La Posta Seq C7 F71-1-1-1-2:S40a/R3212Z-060-001-001-B,Ames,2024.0,1566,1525,241,79,Tropical Inbred,Mexico,GEM Released Line
63,7,5,GEMS-0335,PHHB4/KS23-6//2FACC-139-001-001-B,Ames,2024.0,1566,1545,262,117,Tropical Inbred,Thailand,GEM Released Line
64,8,5,GEMS-0336,PHHB9//KS23-6/PHW52-139-001-001-B,Ames,2024.0,1480,1503,277,107,Tropical Inbred,Thailand,GEM Released Line
